id,section_id,title,description,completed,link,imageSrc
1,basic_information,Basic Information,"In this section, you can enter all the essential information about the course and the instructor.",false,/basic-info,/images/BasicInfo.png
2,course_description,Course Description,"This section guides you through a two-step planning process to draft your course description: first by articulating a clear vision, then by reflection on the course's broader context.",false,/course-description,/images/CourseDescription.png
3,learning_outcomes,Learning Outcomes,"In this section, you'll define the learning outcomes students are expected to demonstrate by the end of the course. Using the provided planning tools, you'll integrate relevant competencies form ELAC's five skill-based areas, along with any additional outcomes specified to your course.",false,/learning-outcomes,/images/LearningOutcomesImage.png
4,high_impact_practices,High Impact Practices (HIPs),"High-Impact Practices (HIPs) have been shown to enhance student learning and engagement by encouraging the application of knowledge in both academic and real-world context. If your course is part of the LAC program, it must incorporate at least one High-Impact Practice. The planning tools provided will help guide you through selecting and implementing an appropriate practice.",false,/hips,/images/HipsImage.png
5,learning_resources,Learning Resources,"Use this section to list all required materials for your course, such as text books, software, lab equipment, and other resources.",false,/learning-resources,/images/LearningResources.png
6,assessment,Assessment,"The planning tools in this section will support you in designing both formative and summative assignments that alight with your course goals and learning outcomes, as well as grading criteria.",false,/assessment,/images/Assessment.png
7,course_schedule,Course Schedule,"This section provides convenient tools to help you build your course schedule, outlining each unit and topic, the learning outcomes addressed, and the reading and assignments due for each class session.",false,/course-schedule,/images/CourseSchedule.png
8,checklist,Checklist,"Use the checklist to ensure your syllabus includes all required components, communicate effectively with students, and offers the option to add relevant policy statements.",false,/checklist,/images/Checklist.png
